id;anzahl_sitze;erstzulassung;farbe;feinstaubplakette;getriebe;hubraum;karosserieform;km;kraftstoff;leistung_ps;marke;modell;preis;schadstoffklasse;tueren
suzuki-baleno-72-kw-98-ps-schaltgetriebe-fronta-benzin-blau-a01f884d-2f2e-4c39-a56e-e3bff86031b0;0.0;1997.0;Blau;2 (Rot);Schaltgetriebe;1590.0;Limousine;273023.0;Super 95;98.0;Suzuki;Baleno;100.0;Euro 2;2.0
opel-tigra-1-4i-16v-color-line-nur-export-benzin-18b5ccd5-23e5-42a0-8a25-22fcdb355686;4.0;1996.0;;4 (Grün);Schaltgetriebe;1389.0;Kleinwagen;125000.0;Benzin;90.0;Opel;Tigra;300.0;Euro 3;2.0
daewoo-rezzo-2-0-cdx-mit-lpg-und-klimaautomatik-benzin-silber-ec0cbe8c-39ed-4fa0-bde5-977d2bbf227d;5.0;2003.0;Silber;4 (Grün);Schaltgetriebe;1998.0;Kombi;200000.0;Benzin;121.0;Daewoo;Rezzo;350.0;Euro 3;5.0
volkswagen-golf-1-6-europe-schiebedach-el-fensterheber-benzin-rot-f54c6e81-fd1b-4b89-82a6-87013b0576a3;5.0;1993.0;Rot;4 (Grün);Schaltgetriebe;1598.0;Limousine;116400.0;Benzin;75.0;Volkswagen;Golf;490.0;Euro 2;4.0
ford-focus-ghia-turnier-cak-benzin-silber-6fbe19b4-c122-467e-a274-61e754e6c395;5.0;1999.0;Silber;4 (Grün);Schaltgetriebe;1596.0;Kombi;200900.0;Super 95;101.0;Ford;Focus;490.0;Euro 3;5.0
audi-a3-1-8-benzin-schwarz-b0be9014-bb60-48fe-bfa2-b9f125c8801b;0.0;1999.0;Schwarz;4 (Grün);Schaltgetriebe;1781.0;Limousine;222000.0;Super 95;125.0;Audi;A3;490.0;Keine;3.0
opel-corsa-b-1-2-benzin-schwarz-fee2693d-dd94-4d6b-898d-3c0b660d7ce0;0.0;1997.0;Schwarz;4 (Grün);Schaltgetriebe;1195.0;Kleinwagen;175000.0;Super 95;45.0;Opel;Corsa;490.0;Keine;3.0
opel-vectra-b-caravan-bel-air-klima-benzin-schwarz-3741ebdc-5f2a-44e3-94f4-cb9f1e1691fe;5.0;1998.0;Schwarz;4 (Grün);Schaltgetriebe;1598.0;Kombi;199890.0;Super 95;101.0;Opel;Vectra;490.0;Euro 1;5.0
ford-galaxy-1-9-tdi-clx-klimaanlage-diesel-bf08c752-a30a-4243-9134-6f11c7e6b73a;0.0;1998.0;;1 (Keine);Schaltgetriebe;1896.0;Van/Kleinbus;238500.0;Diesel;90.0;Ford;Galaxy;490.0;Keine;5.0
volkswagen-others-andere-t4-1-9-transporter-motorschaden-camper-diesel-grau-7ffbd36c-9373-4b73-acc1-19f0b4e0a100;2.0;1994.0;Grau;2 (Rot);Schaltgetriebe;1896.0;Transporter;379000.0;Diesel;68.0;Volkswagen;;500.0;Euro 2;0.0
audi-a6-avant-2-4-klimaautomatik-pdc-alu-benzin-gruen-571b6739-a653-444a-bdbe-c50d15866fb0;5.0;1999.0;Grün;4 (Grün);Schaltgetriebe;2393.0;Kombi;284000.0;Benzin;165.0;Audi;A6;600.0;Euro 3;5.0
fiat-stilo-1-6-16v-dynamic-klima-5-tuerer-benzin-grau-c0d0ddd1-efdb-4165-8c63-64ea42d4bcc6;5.0;2002.0;Grau;Keine;Schaltgetriebe;1581.0;Kleinwagen;121000.0;Super 95;103.0;Fiat;Stilo;600.0;Keine;4.0
mitsubishi-carisma-1-6-klima-el-fensterheber-leder-17-zoll-alu-ahk-benzin-grau-981e37a3-1f52-40a4-92ab-40e9e077b225;5.0;2003.0;Grau;4 (Grün);Schaltgetriebe;1597.0;Limousine;200000.0;Benzin;103.0;Mitsubishi;Carisma;650.0;Euro 4;5.0
audi-100-avant-tuev-2021-8x-bereift-schiebedach-benzin-gruen-3947d648-dd76-4385-936d-866215b81ad2;0.0;1993.0;Grün;Keine;Schaltgetriebe;2598.0;Kombi;304000.0;Benzin;150.0;Audi;100;699.0;Euro 2;0.0
fiat-grande-punto-1-2-8v-active-benzin-orange-b930d4fa-7a0a-4096-a862-2d2b3af0a554;5.0;2006.0;Orange;4 (Grün);Schaltgetriebe;1242.0;Kleinwagen;177900.0;Super 95;65.0;Fiat;Grande Punto;699.0;Euro 4;2.0
volkswagen-polo-sedan-edition-iii-6n2-bastlerfahrzeug-benzin-schwarz-e046f618-f2a0-4d02-a2ff-bfe9292235dc;5.0;2000.0;Schwarz;4 (Grün);Schaltgetriebe;999.0;Kleinwagen;227000.0;Super 95;50.0;Volkswagen;Polo Sedan;699.0;Keine;3.0
opel-corsa-c-1-0-enjoy-klima-cd-radio-bc-benzin-schwarz-4a244175-a955-43ae-aef3-b7ceaa54046a;5.0;2005.0;Schwarz;4 (Grün);Schaltgetriebe;998.0;Kleinwagen;147550.0;Super 95;60.0;Opel;Corsa;750.0;Euro 4;2.0
volkswagen-golf-2-0-comfortline-klimaanlage-benzin-rot-61eba35f-ed97-4310-bd3d-240feaf8b34b;5.0;2000.0;Rot;4 (Grün);Schaltgetriebe;1984.0;Limousine;330000.0;Benzin;116.0;Volkswagen;Golf;750.0;Euro 3;5.0
hyundai-matrix-1-6-sky-faltdach-efh-alu-teilb-ruecks-el-sp-seiten-benzin-silber-6b71c0ab-895a-4be8-adaf-0b87e5abd253;5.0;2003.0;Silber;4 (Grün);Schaltgetriebe;1599.0;Van/Kleinbus;150000.0;Super 95;103.0;Hyundai;Matrix;790.0;Euro 4;5.0
nissan-primera-traveller-1-8-kamera-tempomat-klimaauto-tuev-benzin-grau-607ec26d-45b3-4c86-a3b9-0fdec3834778;5.0;2007.0;Grau;4 (Grün);Schaltgetriebe;1769.0;Kombi;223000.0;Benzin;116.0;Nissan;Primera;850.0;Euro 4;5.0
ford-fiesta-1-3-klima-5-tuerig-euro-4-el-fenster-benzin-blau-9dc7bbd7-0188-4bd3-ab90-b5909b950509;5.0;2006.0;Blau;4 (Grün);Schaltgetriebe;1299.0;Limousine;170000.0;Benzin;69.0;Ford;Fiesta;850.0;Euro 4;5.0
volkswagen-polo-iii-1-0-edition-export-tuev-10-2020-benzin-weiss-817694ff-9b9a-446a-b195-af4d0256453d;5.0;2001.0;Weiß;4 (Grün);Schaltgetriebe;999.0;Kleinwagen;103000.0;Super 95;50.0;Volkswagen;Polo;850.0;Euro 4;2.0
mitsubishi-carisma-1-6-ltr-66-kw-kat-perf-sitze-benzin-weiss-2fa89b8c-e859-4641-98c8-47ecd721dc32;5.0;1998.0;Weiß;4 (Grün);Schaltgetriebe;1597.0;Limousine;198693.0;Super 95 / Normal/Benzin 91;90.0;Mitsubishi;Carisma;880.0;Euro 3;4.0
mercedes-benz-a-140-a-klasse-automatik-anhaengerkupplung-einparkhi-benzin-silber-cbff8984-dabb-46d7-aac1-e85d9ea248f4;5.0;2001.0;Silber;4 (Grün);Automatik;1598.0;Limousine;180676.0;Super 95;82.0;Mercedes-Benz;A 140;890.0;Keine;4.0
kia-clarus-glx-tuev-neu-benzin-gruen-ec60ebd5-654a-4ba9-b01a-1311c88733a1;5.0;2001.0;Grün;4 (Grün);Schaltgetriebe;1998.0;Limousine;169000.0;Super 95;133.0;Kia;Clarus;899.0;Euro 1;4.0
mazda-6-2-0-comfort-tempomat-klimaauto-tuev-06-2020-benzin-silber-06b270ff-d033-423d-977a-1dd4af1ef289;5.0;2004.0;Silber;4 (Grün);Schaltgetriebe;1999.0;Limousine;184000.0;Benzin;141.0;Mazda;6;900.0;Euro 4;4.0
saab-9-5-kombi-2-0t-se-alu-ahk-klimaauto-leder-tuev-benzin-schwarz-e4a33f09-e808-4ff9-90fc-12411ce14bb0;5.0;2001.0;Schwarz;4 (Grün);Schaltgetriebe;1985.0;Kombi;208000.0;Benzin;150.0;Saab;9-5;900.0;Euro 3;5.0
kia-carens-1-8-16v-ex-klima-dachreling-regensensor-lenkradver-benzin-silber-97785701-2277-41a9-9e6c-2ae20642a286;5.0;2003.0;Silber;4 (Grün);Automatik;1793.0;Van/Kleinbus;139867.0;Super 95;126.0;Kia;Carens;950.0;Euro 4;5.0
volkswagen-polo-aut-klima-fh-alus-allwetter-tuev-12-21-benzin-gruen-d42ce8a5-5bf3-45df-817e-c501eb7830a7;5.0;1998.0;Grün;4 (Grün);Automatik;1598.0;Limousine;216779.0;Super 95;75.0;Volkswagen;Polo;990.0;Euro 2;5.0
alfa-romeo-147-alfa-1-6-twin-spark-progression-benzin-schwarz-2dc8ea37-40cc-439d-853d-33e0156fe6b7;5.0;2007.0;Schwarz;4 (Grün);Schaltgetriebe;1598.0;Limousine;199901.0;Super 95;120.0;Alfa Romeo;147;990.0;Euro 4;3.0
renault-clio-1-5-dci-vendu-dans-l-etat-diesel-grau-bfe470bd-7145-408b-bdcc-65697033d909;5.0;2002.0;Grau;Keine;Schaltgetriebe;1461.0;Limousine;202300.0;Diesel;65.0;Renault;Clio;990.0;Euro 3;3.0
audi-a6-2-5-diesel-automatik-diesel-blau-6c0a2ead-a798-4835-928d-f2585cd42c3b;5.0;2002.0;Blau;3 (Gelb);Automatik;2496.0;Kombi;239600.0;Diesel;163.0;Audi;A6;990.0;Euro 3;5.0
renault-clio-campus-extreme-klima-zv-el-fensterheber-43-kw-benzin-schwarz-f5722960-fd93-4473-8648-6ca5c806d3b4;5.0;2007.0;Schwarz;4 (Grün);Schaltgetriebe;1149.0;Kleinwagen;168000.0;Super 95;58.0;Renault;Clio;990.0;Euro 4;3.0
volvo-v40-v-40-2-0-kombi-benzin-schwarz-a218a8cf-f5a5-475e-9d45-3e91748fef7e;5.0;2001.0;Schwarz;4 (Grün);Schaltgetriebe;1948.0;Kombi;242480.0;Super 95;136.0;Volvo;V40;990.0;Euro 3;0.0
volvo-v40-1-6-classic-tuev-faellig-limited-edition-benzin-silber-7588ed5b-790f-4825-b39f-163b73cde7a5;0.0;2004.0;Silber;4 (Grün);Automatik;1587.0;Kombi;284100.0;Super 95;109.0;Volvo;V40;990.0;Euro 3;5.0
mercedes-benz-c-200-cdi-export-kein-tuev-diesel-blau-a832bf5b-0a7b-4812-ae69-16b3596cd31b;5.0;2004.0;Blau;4 (Grün);Schaltgetriebe;2148.0;Limousine;305469.0;Diesel;122.0;Mercedes-Benz;C 200;990.0;Euro 4;4.0
ford-mondeo-lim-trend-1-8-benzin-blau-c812cb55-aa43-421b-bbb6-1199d4780444;5.0;2001.0;Blau;4 (Grün);Schaltgetriebe;1798.0;Limousine;243000.0;Super 95;125.0;Ford;Mondeo;999.0;Euro 4;4.0
ford-focus-1-6-automatik-klimaanlage-benzin-silber-43a487f3-3855-4e20-a5d0-784350dcad08;5.0;2002.0;Silber;4 (Grün);Automatik;1596.0;Kombi;170000.0;Super 95;101.0;Ford;Focus;999.0;Euro 3;5.0
volvo-v40-v-40-kombi-1-8-classic-limited-edition-klima-shz-benzin-silber-fe1a0ff9-3fb6-43fb-a166-115ad4752ac2;5.0;2004.0;Silber;Keine;Schaltgetriebe;1783.0;Kombi;270000.0;Super 95;122.0;Volvo;V40;999.0;Euro 3;4.0
citroen-xsara-picasso-1-8-16v-sx-2-hand-benzin-schwarz-5fbc1582-697f-4578-bd1f-c7d14accc3ba;5.0;2002.0;Schwarz;4 (Grün);Schaltgetriebe;1749.0;Van/Kleinbus;150000.0;Super 95;116.0;Citroen;Xsara Picasso;1100.0;Euro 3;4.0
peugeot-307-break-sw-1-6-grand-filou-klimaautomatik-ahk-benzin-blau-ea480d20-8644-4f3a-8398-4f38c97a4a48;5.0;2003.0;Blau;4 (Grün);Schaltgetriebe;1587.0;Kombi;248000.0;Super 95;109.0;Peugeot;307;1111.0;Euro 3;4.0
opel-meriva-1-6-enjoy-anh-kupplung-8-fach-bereift-benzin-schwarz-e9f0458a-968e-4249-b23e-0c5253080480;5.0;2005.0;Schwarz;4 (Grün);Schaltgetriebe;1598.0;Van/Kleinbus;192800.0;Benzin;101.0;Opel;Meriva;1190.0;Euro 4;4.0
renault-laguna-2-0-airride-fahrwerk-benzin-schwarz-4550f001-ab62-46bc-9163-60039946bbcf;0.0;2003.0;Schwarz;4 (Grün);Schaltgetriebe;1998.0;Limousine;121497.0;Super 95;140.0;Renault;Laguna;1190.0;Keine;4.0
ford-c-max-trend-ahk-abnehmbar-klima-benzin-grau-bf495363-73e1-490a-8e6b-1990d504bf40;5.0;2003.0;Grau;4 (Grün);Schaltgetriebe;1798.0;Van/Kleinbus;178521.0;Benzin;120.0;Ford;C-Max;1200.0;Euro 4;5.0
renault-kangoo-rapid-1-5-dci-klimaanlage-ahk-radio-cd-zv-diesel-grau-e85c1e64-c714-492e-87b1-834f93364a90;2.0;2008.0;Grau;4 (Grün);Schaltgetriebe;1461.0;Van/Kleinbus;220000.0;Diesel (Rußpartikelfilter);68.0;Renault;Kangoo;1200.0;Euro 4;3.0
opel-astra-g-3t-lim-edition-2000-8-fach-bereift-benzin-silber-7c997eb3-018e-42b1-8be1-892f4e5e66b9;5.0;2000.0;Silber;4 (Grün);Schaltgetriebe;1598.0;Limousine;163000.0;Super 95;101.0;Opel;Astra;1240.0;Keine;2.0
citroen-c3-1-4-hdi-sx-diesel-grau-90cb9cbf-7213-4ec6-9aab-1ea98a7063b8;5.0;2004.0;Grau;Keine;Schaltgetriebe;1398.0;Limousine;260000.0;Diesel;68.0;Citroen;C3;1250.0;Euro 3;5.0
ford-escort-cabrio-michael-schumacher-edition-1-hand-benzin-violett-ff6d1319-85be-4e8e-bdf0-bb08d5570e6f;4.0;1995.0;Violett;4 (Grün);Schaltgetriebe;1597.0;Cabrio;95000.0;Benzin;90.0;Ford;Escort;1250.0;Euro 1;2.0
volkswagen-touran-basis-klima-ahk-7-sitze-zv-75-kw-102-ps-scha-benzin-silber-2aa54289-81c4-4d3a-bb5f-30e1efec8747;7.0;2003.0;Silber;4 (Grün);Schaltgetriebe;1595.0;Van/Kleinbus;255000.0;Super 95;102.0;Volkswagen;Touran;1290.0;Euro 4;5.0
opel-vectra-c-2-2-caravan-edition-benzin-silber-de3f0efd-a518-4864-93ca-1c9a558c39c7;5.0;2005.0;Silber;4 (Grün);Schaltgetriebe;2198.0;Kombi;196000.0;Super 95;155.0;Opel;Vectra;1290.0;Euro 4;4.0
